Model,modelshort
AIM/CGE 2.0,AIMCGE
AIM/CGE 2.1,AIMCGE
C-ROADS-5.005,C-ROADS
GCAM 4.2,GCAM
GENeSYS-MOD 1.0,GENeSYS
IEA Energy Technology Perspective Model 2017,IEA ETP
IEA World Energy Model 2017,IEA WEO
IMAGE 3.0.1,IMAGE
IMAGE 3.0.2,IMAGE
MERGE-ETL 6.0,MERGE
MESSAGE-GLOBIOM 1.0,MESSAGE
MESSAGE V.3,MESSAGE
MESSAGEix-GLOBIOM 1.0,MESSAGE
POLES ADVANCE,POLES
POLES CD-LINKS,POLES
POLES EMF33,POLES
REMIND-MAgPIE 1.5,REMIND
REMIND-MAgPIE 1.7-3.0,REMIND
REMIND 1.5,REMIND
REMIND 1.7,REMIND
Shell World Energy Model 2018,Shell
WITCH-GLOBIOM 3.1,WITCH
WITCH-GLOBIOM 4.2,WITCH
WITCH-GLOBIOM 4.4,WITCH
